file	loc	exports	imports_internal	io_fs	io_proc	io_net	io_sqlite	io_env	singleton_state
task-boards.ts	2863	21	io,paths,session-tasks-store,task-boards-store,task-boards-types,tasks-store,tasks-types	n	n	n	n	n	n
task-title.ts	16	4		n	n	n	n	n	n
tasks-api.ts	397	10	tasks-contract,tasks-types,types	n	n	n	n	n	n
tasks-cli.ts	625	13	task-title,tasks-contract,tasks-store,tasks-types,tasks-workflow	n	n	n	n	n	n
tasks-contract.ts	595	16	session-tasks-store,task-title,tasks-store,tasks-types,tasks-workflow	n	n	n	n	n	n
tasks-live.ts	231	8	paths,tasks-types	y	n	n	n	n	n
tasks-migration.ts	203	7	io,paths,session-tasks-store,tasks-live,tasks-store,tasks-types	y	n	n	n	n	n
tasks-store.ts	960	37	io,paths,task-title,tasks-types,tasks-workflow	y	n	n	n	n	n
tasks-types.ts	556	62		n	n	n	n	n	n
tasks-workflow.ts	338	17	tasks-types	n	n	n	n	n	n
tasks.ts	1706	144	io,paths,session-tasks-store,task-boards-store,task-boards-types,task-boards,tasks-contract,tasks-live,tasks-migration,tasks-store,tasks-types,tasks-workflow,types	n	n	n	n	n	n
terminal-api.ts	140	7	actor-context,pins-store,terminal-service,terminal-stream,terminal-types,types	n	n	n	n	n	n
terminal-runtime.ts	414	4	io,paths,pins-store,terminal-types	y	y	n	n	n	n
terminal-service.ts	595	7	paths,pins-store,terminal-runtime,terminal-types	n	n	n	n	n	n
terminal-stream.ts	194	3	terminal-service	n	n	y	n	n	n
terminal-types.ts	108	21		n	n	n	n	n	n
tmux-controller.ts	2371	59	cgroups,core,daemon-secrets,io,paths,types,warden-detect	y	y	n	n	y	n
transcript-search.ts	65	2		n	n	n	n	n	n
types.ts	545	22		n	n	n	n	n	n
ui.ts	345	2		n	n	?	n	n	n
usage.ts	275	13	core,types	n	y	y	n	y	n
version.ts	15	1		n	n	n	n	n	n
warden-attention.ts	689	16	attention-store,attention-types,io,paths,warden-detect,warden-verdicts	y	n	n	n	n	n
warden-bless.ts	166	7	types,warden-detect	n	n	n	n	n	n
warden-concurrency.ts	125	5		n	n	n	n	n	n
warden-detect.ts	339	11	liveness,types	n	n	n	n	n	n
warden-failover.ts	305	14	core,daemon-config	n	n	n	n	n	n
warden-provenance.ts	128	8	core,daemon-config,types	n	n	n	n	n	n
warden-reports.ts	92	4	paths,warden-provenance,warden-verdicts	y	n	n	n	n	n
warden-verdicts.ts	319	12	warden-detect,warden-provenance	n	n	n	n	n	n
worktrees.ts	774	23	git	y	y	n	n	n	n
